Question,Category
"සීතල සනීප දෙන ගහනේ
ගතට දිරිය ලැබ දෙන ගහනේ
වැටට මැළිය දුර ලන ගහනේ
රටට ඉසුරු නුඹ වන්නේ

මෙම කවියේ සමස්ත අදහස මඟින් දෙනු ලබන පණිවුඩය කුමක් ද?
(1) කම්මැලි කම දුරු ලන්න.
(2) වෙහෙස වී වැඩ කරන්න.
(3) රටට වටිනා පුරවැසියකු වන්න.

කවියට අනුව, රටට ඉසුරු වන අයකු තුළ දැකිය හැකි ලක්ෂණ දෙකක් වන්නේ,
(1) සීතල ගත සනීප කිරීම සහ වැටට කම්මැලි නොවී සිටීම ය.
(2) සිත දියුණු කර ගැනීම සහ ශරීරය වර්ධනය කර ගැනීම ය.
(3) සිතට දිරිය ගැනීම සහ ගත සුවපත් කර ගැනීම ය.
",Sinhala language comprehension
"පළමුවන හා දෙවන හිස්තැන් සඳහා පිළිවෙළින් වඩාත් සුදුසු වන වචනය තෝරන්න.
ශ්‍රී ලංකාවේ වන සම්පත් සිඳී යාමෙන් ............ නිසා වැසි වනාන්තර .............. වී ඇත.
(1) අඩු වීම, ළඟා
(2) ආරක්ෂා වීම, පාලනය
(3) පැතිරීම, දියුණු",Sinhala language comprehension
"නිවැරදි ක්‍රියා පදය යටින් ඉරක් අඳින්න.
(1) උණූ පඳුරු ර සර සර හඬ (නැඟෙයි / නඟයි).
(2) ඇතැම්හු තම සතුට පළ (කළෝය/ කළෙය).",Sinhala grammar comprehension
"මෙම වාක්‍යය, ලේඛන වහරට හරවා ලියන්න.
(1) උඹ දෙන්නු තණකොළ කෑවා.",Sinhala grammar comprehension
නිවැරදි අක්ෂර වින්‍යාසය සහිත වචනය යටින් ඉරක් අඳින්න. (පැලෑටි / පැළෑටි),Sinhala grammar comprehension - NO
"එක දෙශීය ශාක පවුලක් පමණක් අඩංගු පිළිතුර තෝරන්න.
(1) දුම්මල, මා ඔය විල්පත, බී කොහොඹ
(2) අඹ, මා ඔය විල්පත, දෙල්
(3) රඹුටන්, අලිගැටපේර, අඹ
(4) රඹුටන්, දෙල්, දුම්මල",Environment
"රැලයෙන්, සුළඟින් සහ සතුන් මඟින් ව්‍යාප්ත වන බීජ පිළිවෙළින් ඇතුළත් පිළිතුර කුමක් ද?
(1) හොර, පොල්, අඹ
(2) කපුරු, හොර, කජු
(3) කපුරු, අඹ, පොල්
(4) කජු, අඹ, හොර",Environment
"සතුන්ගෙන් ශාකවලට සිදුවන යහපත් ක්‍රියාවක් වන්නේ,
(1) දිමියන් ශාක පත්‍ර එකතු කොට දිමිතොටු සෑදීමයි.
(2) වඳුරන් ශාකවල බීජ තැන තැන දැමීමයි.
(3) ගුල්ලා ශාකවල අතු, මුල් ආහාරයට ගැනීමයි.
(4) සමනළයා වන මල්වල වාඩි වී ගස පරාගනය කිරීමයි.",Environment
"පැළෑටිවල කොළ ආහාරයට ගන්නා සතෙකි,
(1) මී මැස්සා.
(2) සමනළයා.
(3) දළඹුවා.
(4) කටුස්සා.",Environment
"එක දේශීය කෘමි භක්ෂක සතෙකි,
(1) එකැස්කුණා.
(2) වවුලා.
(3) හික්මියා.
(4) ගස් ගෙම්බා.",Environment
" මැස්සන් නිසා පැතිරීමට ඉඩ ඇති රෝගයකි,
(1) මැලේරියාව.
(2) මහාමාරිය.
(3) ජලභීතිකා.
(4) පාචනය.
",Environment
"අපිරිසිදු ජලය පානය කිරීම නිසා ඇති විය හැකි රෝගයකි,
(1) කඩවා.
(2) සරම්ප.
(3) කොළරාව.
(4) වකුගඩු රෝගය.
",Environment
"පහත දක්වා ඇති එළවළු අතරින් මධ්‍යස්ථ වශයෙන් ජලය අඩංගු ආහාරය තෝරන්න.
(1) කැරට්
(2) සෝයා බෝංචි
(3) රටකජු
(4) කඩල",Environment
"වැඩි රුධිර පීඩන තත්ත්වවල අඩුම වශයෙන් ම සෑහෙන කාලයක් අහසේ පැවැත්මට දියවැඩියා රෝගීන් ගුණ වස්තුවක් වන්නේ,
(1) සිකුරු ය.
(2) අඟහරු ය.
(3) සෙනසුරු ය.
(4) බ්‍රහස්පති ය.",Environment
" යම්කු මත්ස්‍යයකු ව විවෙක වනාහී කළ යුතු වන්නේ,
(1) ශරීරය හොඳින් ආවරණය කිරීමයි.
(2) හොඳින් වාතාශ්‍රය ලබාදීමයි.
(3) සිසිල් ජලය පහනය කිරීමට සැලැස්වීමයි.
(4) මෘදු ජලය තුළට හඳුන්වා ඇතුළු කිරීමයි.",Environment
"පොළොවෙහි වැඩෙන ශාකයක් ජලය හා පෝෂක ලබා ගන්නේ,
(1) මුල් මඟිනි.
(2) පත්‍ර මඟිනි.
(3) මල් මඟිනි.
(4) බීජ මඟිනි.",Environment
"මදුරුවන් මර්දනය කිරීම සඳහා සුදුසු ක්‍රියාමාර්ගයක් නොවන්නේ,
(1) වටපිටාව පිරිසිදුව තබා ගැනීමයි.
(2) මදුරු දැල් යොදා ප්‍රවේශම් වීමයි.
(3) ජලය රැස් වන ස්ථාන නැති කර දැමීමයි.
(4) ජලය දැමූ බඳුන් මත තෙල් දැමීමයි.",Environment
